model,dataset,metric,fp16,nf4,delta,ci95_low,ci95_high
Qwen/Qwen2.5-3B-Instruct,truthful_qa_mc1,individual_accuracy,0.49666666666666665,0.4826666666666667,-0.013999999999999957,-0.05066666666666664,0.021333333333333315
Qwen/Qwen2.5-3B-Instruct,truthful_qa_mc1,panel_accuracy,0.49333333333333335,0.48,-0.013333333333333364,-0.050000000000000044,0.023333333333333317
Qwen/Qwen2.5-3B-Instruct,truthful_qa_mc1,beta_all_agents_wrong,0.49,0.5066666666666667,0.01666666666666672,-0.020000000000000018,0.0533333333333334
Qwen/Qwen2.5-3B-Instruct,truthful_qa_mc1,kappa_same_wrong_given_valid_all_wrong,0.9387755102040817,0.9276315789473685,-0.011143931256713202,-0.06282155454774502,0.0414829444662202
Qwen/Qwen2.5-3B-Instruct,truthful_qa_mc1,kappa_same_wrong_given_all_wrong,0.9387755102040817,0.9276315789473685,-0.011143931256713202,-0.06282155454774502,0.0414829444662202
Qwen/Qwen2.5-3B-Instruct,truthful_qa_mc1,same_wrong_all_rate,0.46,0.47,0.009999999999999953,-0.033333333333333326,0.053333333333333344
Qwen/Qwen2.5-3B-Instruct,truthful_qa_mc1,agreement_brier,0.4854666666666666,0.49613333333333337,0.010666666666666658,-0.025999999999999912,0.04893333333333327
Qwen/Qwen2.5-3B-Instruct,truthful_qa_mc1,invalid_answer_rate,0.0,0.0,0.0,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,gsm8k,individual_accuracy,0.5179999999999999,0.41,-0.10799999999999993,-0.13733333333333342,-0.07999999999999996
Qwen/Qwen2.5-3B-Instruct,gsm8k,panel_accuracy,0.63,0.5333333333333333,-0.09666666666666668,-0.1466666666666666,-0.046666666666666745
Qwen/Qwen2.5-3B-Instruct,gsm8k,beta_all_agents_wrong,0.2633333333333333,0.35333333333333333,0.09000000000000002,0.04666666666666669,0.13333333333333333
Qwen/Qwen2.5-3B-Instruct,gsm8k,kappa_same_wrong_given_valid_all_wrong,1.0,,,,
Qwen/Qwen2.5-3B-Instruct,gsm8k,kappa_same_wrong_given_all_wrong,0.012658227848101266,0.0,-0.012658227848101266,-0.041666666666666664,0.0
Qwen/Qwen2.5-3B-Instruct,gsm8k,same_wrong_all_rate,0.0033333333333333335,0.0,-0.0033333333333333335,-0.01,0.0
Qwen/Qwen2.5-3B-Instruct,gsm8k,agreement_brier,0.09653333333333335,0.10386666666666669,0.007333333333333331,-0.01547,0.02946666666666664
Qwen/Qwen2.5-3B-Instruct,gsm8k,invalid_answer_rate,0.41933333333333334,0.5439999999999999,0.12466666666666676,0.10000000000000003,0.15066666666666667
microsoft/Phi-3.5-mini-instruct,truthful_qa_mc1,individual_accuracy,0.5493333333333333,0.502,-0.04733333333333334,-0.08466666666666672,-0.010666666666666602
microsoft/Phi-3.5-mini-instruct,truthful_qa_mc1,panel_accuracy,0.5566666666666666,0.5,-0.05666666666666664,-0.09666666666666673,-0.016666666666666607
microsoft/Phi-3.5-mini-instruct,truthful_qa_mc1,beta_all_agents_wrong,0.43,0.48,0.04999999999999999,0.013333333333333308,0.08999999999999997
microsoft/Phi-3.5-mini-instruct,truthful_qa_mc1,kappa_same_wrong_given_valid_all_wrong,0.8449612403100775,0.8680555555555556,0.023094315245478114,-0.04566264595390402,0.09400968213413669
microsoft/Phi-3.5-mini-instruct,truthful_qa_mc1,kappa_same_wrong_given_all_wrong,0.8449612403100775,0.8680555555555556,0.023094315245478114,-0.04566264595390402,0.09400968213413669
microsoft/Phi-3.5-mini-instruct,truthful_qa_mc1,same_wrong_all_rate,0.36333333333333334,0.4166666666666667,0.053333333333333344,0.010000000000000009,0.09666666666666668
microsoft/Phi-3.5-mini-instruct,truthful_qa_mc1,agreement_brier,0.40893333333333337,0.45546666666666663,0.04653333333333326,0.009729999999999824,0.08519999999999994
microsoft/Phi-3.5-mini-instruct,truthful_qa_mc1,invalid_answer_rate,0.0,0.0,0.0,0.0,0.0
microsoft/Phi-3.5-mini-instruct,gsm8k,individual_accuracy,0.33533333333333337,0.26466666666666666,-0.07066666666666671,-0.09933333333333327,-0.042666666666666686
microsoft/Phi-3.5-mini-instruct,gsm8k,panel_accuracy,0.4866666666666667,0.42,-0.06666666666666671,-0.1166666666666667,-0.016666666666666663
microsoft/Phi-3.5-mini-instruct,gsm8k,beta_all_agents_wrong,0.3933333333333333,0.45,0.0566666666666667,0.006666666666666654,0.10999999999999999
microsoft/Phi-3.5-mini-instruct,gsm8k,kappa_same_wrong_given_valid_all_wrong,,1.0,,,
microsoft/Phi-3.5-mini-instruct,gsm8k,kappa_same_wrong_given_all_wrong,0.0,0.007407407407407408,0.007407407407407408,0.0,0.024
microsoft/Phi-3.5-mini-instruct,gsm8k,same_wrong_all_rate,0.0,0.0033333333333333335,0.0033333333333333335,0.0,0.01
microsoft/Phi-3.5-mini-instruct,gsm8k,agreement_brier,0.11960000000000001,0.1318666666666667,0.012266666666666676,-0.011199999999999974,0.03560000000000001
microsoft/Phi-3.5-mini-instruct,gsm8k,invalid_answer_rate,0.6326666666666667,0.7060000000000001,0.07333333333333325,0.04399999999999993,0.10399999999999976
